Playing : sins : ./audio/sins/sins.mp3 | at [18:14:47 - 11 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : sins : ./audio/sins/sins.mp3 | at [20:58:46 - 11 Mar 2021] | on SHISHIMOJI/dev | by SHISHI#2587.
Playing : background : ./audio/background/background.mp3 | at [21:24:17 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : background : ./audio/background/background.mp3 | at [21:24:36 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : drip : ./audio/drip/drip.mp3 | at [21:24:44 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : rompiche : ./audio/rompiche/rompiche_mario.mp3 | at [21:24:47 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : openthedoor : ./audio/openthedoor/door.mp3 | at [21:24:55 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : giorno : ./audio/giorno/giorno.mp3 | at [21:25:7 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : wuhan : ./audio/wuhan/wuhan.mp3 | at [21:25:18 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : maillonfaible : ./audio/maillonfaible/maillonfaible.mp3 | at [21:25:25 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : nulnulnul : ./audio/nulnulnul/nulnulnul.mp3 | at [21:25:40 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : spiderman : ./audio/spiderman/bassem-je-suis-spider-man-fdp_1.wav | at [21:25:44 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Sadeh#5971.
Playing : dehors : ./audio/dehors/dehors.mp3 | at [21:37:44 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Zerokrush#3736.
Playing : dehors : ./audio/dehors/dehors.mp3 | at [21:40:59 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : wuhan : ./audio/wuhan/wuhan.mp3 | at [21:45:43 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : ctsur : ./audio/ctsur/ctsur.mp3 | at [21:45:56 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : melokrik : ./audio/melokrik/melokrik.mp3 | at [21:46:5 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by 'N𝕒ƶø' (𝓟𝓵𝓾𝓶𝓮𝓵𝓲𝓷𝓮)#8751.
Playing : non : ./audio/non/non.mp3 | at [21:46:21 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : trop : ./audio/trop/tropctrop.mp3 | at [21:46:24 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Zerokrush#3736.
Playing : trop : ./audio/trop/tropctrop.mp3 | at [21:46:29 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : spiderman : ./audio/spiderman/bassem-je-suis-spider-man-fdp_1.wav | at [21:46:37 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : nulnulnul : ./audio/nulnulnul/nulnulnul.mp3 | at [21:47:37 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : tire : ./audio/tire/tire.mp3 | at [21:53:1 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [22:17:28 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [22:17:34 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [22:17:44 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Saku#1612.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [22:17:50 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : rompiche : ./audio/rompiche/rompiche_mario.mp3 | at [22:18:27 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : tire : ./audio/tire/tire.mp3 | at [22:19:15 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [22:23:2 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : tire : ./audio/tire/tire.mp3 | at [22:26:4 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : bizarre : ./audio/bizarre/bizarre.mp3 | at [22:28:15 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : cmoi : ./audio/cmoi/cmoi.mp3 | at [22:52:14 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : nulnulnul : ./audio/nulnulnul/nulnulnul.mp3 | at [22:52:37 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : conseil : ./audio/conseil/sentence.mp3 | at [22:54:25 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : non : ./audio/non/non.mp3 | at [22:56:30 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : non : ./audio/non/non.mp3 | at [23:18:26 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by ZAYMAN#0679.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [23:19:3 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : bonk : ./audio/bonk/bonk.mp3 | at [23:41:23 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Zerokrush#3736.
Playing : melokrik : ./audio/melokrik/melokrik.mp3 | at [23:42:34 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : why : ./audio/why/why.mp3 | at [23:43:42 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by ZAYMAN#0679.
Playing : conseil : ./audio/conseil/sentence.mp3 | at [23:44:23 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : bonk : ./audio/bonk/bonk.mp3 | at [23:54:1 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Zerokrush#3736.
Playing : bonk : ./audio/bonk/bonk.mp3 | at [23:54:15 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : tire : ./audio/tire/tire.mp3 | at [23:57:46 - 11 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : drip : ./audio/drip/drip.mp3 | at [0:4:0 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : guez : ./audio/guez/guez.mp3 | at [0:4:52 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : drip : ./audio/drip/drip.mp3 | at [0:4:58 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Zerokrush#3736.
Playing : maillonfaible : ./audio/maillonfaible/maillonfaible.mp3 | at [0:5:8 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : corrompu : ./audio/corrompu/corrompu.mp3 | at [0:5:8 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : maillonfaible : ./audio/maillonfaible/maillonfaible.mp3 | at [0:5:24 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : cena : ./audio/cena/jc_echo.wav | at [0:5:37 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : wuhan : ./audio/wuhan/wuhan.mp3 | at [0:5:48 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : giorno : ./audio/giorno/giorno.mp3 | at [0:5:52 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : rompiche : ./audio/rompiche/rompiche_mario.mp3 | at [0:6:3 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : benzema : ./audio/benzema/Benzema.mp3 | at [0:6:20 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Zerokrush#3736.
Playing : trop : ./audio/trop/tropctrop.mp3 | at [0:6:28 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : dehors : ./audio/dehors/dehors.mp3 | at [0:6:35 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : cmoi : ./audio/cmoi/cmoi.mp3 | at [0:6:43 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : nulnulnul : ./audio/nulnulnul/nulnulnul.mp3 | at [0:6:57 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
Playing : scoop : ./audio/scoop/scoop.mp3 | at [0:7:23 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : sins : ./audio/sins/sins.mp3 | at [0:7:33 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Kenway#5647.
Playing : background : ./audio/background/background.mp3 | at [0:7:33 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by SHISHI#2587.
Playing : guerre : ./audio/guerre/claguerre.mp3 | at [0:7:39 - 12 Mar 2021] | on Drip Klub Æon/commandes-bot | by Yaxo#2549.
